,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,wine,best quality
0,2.0014800002101243,-0.35667494393873245,0.0,0.6418538861723947,-2.577021938695806,2.3978952727983707,-0.0022024235552000394,3.51,-0.579818495252942,2.2407096892759584,0,1
1,2.0541237336955462,-0.12783337150988489,0.0,0.9555114450274363,-2.322787800311565,3.2188758248682006,-0.0032051309489483358,3.2,-0.3856624808119846,2.2823823856765264,0,1
2,2.0541237336955462,-0.2744368457017603,0.04,0.8329091229351039,-2.385966701933097,2.70805020110221,-0.0030045090202987243,3.26,-0.4307829160924542,2.2823823856765264,0,1
3,1.962001162723247,-1.2729656758128873,0.56,0.6418538861723947,-2.5902671654458267,2.833213344056216,-0.0020020026706730793,3.16,-0.5447271754416722,2.2823823856765264,0,1
4,2.0014800002101243,-0.35667494393873245,0.0,0.6418538861723947,-2.577021938695806,2.3978952727983707,-0.0022024235552000394,3.51,-0.579818495252942,2.2407096892759584,0,1
5,2.0014800002101243,-0.4155154439616658,0.0,0.5877866649021191,-2.5902671654458267,2.5649493574615367,-0.0022024235552000394,3.51,-0.579818495252942,2.2407096892759584,0,1
6,2.066862759472976,-0.5108256237659907,0.06,0.47000362924573563,-2.6736487743848776,2.70805020110221,-0.003606495594111744,3.3,-0.7765287894989963,2.2407096892759584,0,1
7,1.9878743481543455,-0.4307829160924542,0.0,0.1823215567939546,-2.7333680090865,2.70805020110221,-0.005414632701498842,3.39,-0.7550225842780328,2.302585092994046,0,1
8,2.0541237336955462,-0.5447271754416722,0.02,0.6931471805599453,-2.617295837833746,2.1972245773362196,-0.0032051309489483358,3.36,-0.5621189181535413,2.2512917986064953,0,1
9,2.0149030205422647,-0.6931471805599453,0.36,1.8082887711792655,-2.645075401940822,2.833213344056216,-0.0022024235552000394,3.35,-0.2231435513142097,2.3513752571634776,0,1
10,1.9021075263969205,-0.5447271754416722,0.08,0.5877866649021191,-2.333044300478754,2.70805020110221,-0.004108428044543191,3.28,-0.616186139423817,2.2192034840549946,0,1
11,2.0149030205422647,-0.6931471805599453,0.36,1.8082887711792655,-2.645075401940822,2.833213344056216,-0.0022024235552000394,3.35,-0.2231435513142097,2.3513752571634776,0,1
12,1.7227665977411035,-0.4861330111756192,0.0,0.47000362924573563,-2.419118909249997,2.772588722239781,-0.005716306996109192,3.58,-0.6539264674066639,2.2925347571405443,0,1
13,2.0541237336955462,-0.4942963218147801,0.29,0.47000362924573563,-2.1715568305876416,2.1972245773362196,-0.0026033858701149278,3.26,0.44468582126144574,2.2082744135228043,0,1
14,2.186051276738094,-0.4780358009429998,0.18,1.33500106673234,-2.9906245763227752,3.9512437185814275,-0.0014009809156281003,3.16,-0.12783337150988489,2.2192034840549946,0,1
15,2.186051276738094,-0.4780358009429998,0.19,1.3609765531356006,-2.9912033141828855,3.9318256327243257,-0.0014009809156281003,3.17,-0.07257069283483537,2.2192034840549946,0,1
16,2.1400661634962708,-1.2729656758128873,0.56,0.5877866649021191,-2.385966701933097,3.5553480614894135,-0.0031048149534787565,3.3,-0.2876820724517809,2.3513752571634776,0,1
17,2.0918640616783932,-0.579818495252942,0.28,0.5306282510621704,-2.9917663031649933,2.772588722239781,-0.0032051309489483358,3.11,0.2468600779315258,2.2300144001592104,0,1
18,2.0014800002101243,-0.527632742082372,0.08,1.4816045409242156,-2.4534079827286295,1.791759469228055,-0.0026033858701149278,3.38,-0.6931471805599453,2.1972245773362196,0,0
